time	batLvl	slrLvl	power
4/3/2019, 4:55:19 PM	2468	2466	false
4/3/2019, 5:00:19 PM	2464	2466	false
4/3/2019, 5:05:19 PM	2468	2466	false
4/3/2019, 5:10:19 PM	2462	2454	false
4/3/2019, 5:20:19 PM	2463	2453	false
4/3/2019, 5:25:19 PM	2461	2465	false
4/3/2019, 5:30:19 PM	2461	2462	false
4/3/2019, 5:35:19 PM	2458	2460	false
4/3/2019, 5:40:19 PM	2456	2458	false
4/3/2019, 5:45:19 PM	2451	2454	false
4/3/2019, 5:50:19 PM	2450	2458	false
4/3/2019, 5:55:19 PM	2455	2457	false
4/3/2019, 6:00:19 PM	2462	2462	false
4/3/2019, 6:05:19 PM	2454	2455	false
4/3/2019, 6:10:19 PM	2451	2441	false
4/3/2019, 6:15:19 PM	2451	2448	false
4/3/2019, 6:20:19 PM	2449	2449	false
4/3/2019, 6:25:19 PM	2444	2446	false
4/3/2019, 6:30:19 PM	2454	2441	false
4/3/2019, 6:35:19 PM	2446	2456	false
4/3/2019, 6:40:19 PM	2441	2450	false
4/3/2019, 6:45:19 PM	2450	2435	false
4/3/2019, 6:50:19 PM	2450	2447	false
4/3/2019, 6:55:19 PM	2447	2436	false
4/3/2019, 9:48:49 PM
4/3/2019, 9:53:49 PM
4/3/2019, 9:58:49 PM
4/3/2019, 10:03:49 PM
4/3/2019, 10:08:49 PM
4/3/2019, 10:13:49 PM
4/3/2019, 10:18:49 PM
4/3/2019, 10:23:49 PM
4/3/2019, 10:28:49 PM
4/3/2019, 10:33:49 PM
4/3/2019, 10:38:49 PM
4/3/2019, 10:43:49 PM
4/3/2019, 10:48:49 PM
4/3/2019, 10:53:49 PM
4/3/2019, 10:58:49 PM
4/3/2019, 11:03:49 PM
4/3/2019, 11:08:49 PM
4/3/2019, 11:13:49 PM
4/3/2019, 11:18:49 PM
4/3/2019, 11:23:49 PM
4/3/2019, 11:28:49 PM
4/3/2019, 11:33:49 PM
4/3/2019, 11:38:49 PM
4/3/2019, 11:43:49 PM
4/3/2019, 11:48:49 PM
4/3/2019, 11:53:49 PM
4/3/2019, 11:58:49 PM
4/4/2019, 12:03:49 AM
4/4/2019, 12:08:49 AM
4/4/2019, 12:13:49 AM
4/4/2019, 12:18:49 AM
4/4/2019, 12:23:49 AM
4/4/2019, 12:28:49 AM
4/4/2019, 12:33:49 AM
4/4/2019, 12:38:49 AM
4/4/2019, 12:43:49 AM
4/4/2019, 12:48:49 AM
4/4/2019, 12:53:49 AM
4/4/2019, 12:58:49 AM
4/4/2019, 1:03:49 AM
4/4/2019, 1:08:49 AM
4/4/2019, 1:13:49 AM
4/4/2019, 1:18:49 AM
4/4/2019, 1:23:49 AM
4/4/2019, 1:28:49 AM
4/4/2019, 1:33:49 AM
4/4/2019, 1:38:49 AM
4/4/2019, 1:43:49 AM
4/4/2019, 1:48:49 AM
4/4/2019, 1:53:49 AM
4/4/2019, 1:58:49 AM
4/4/2019, 2:03:49 AM
4/4/2019, 2:08:49 AM
4/4/2019, 2:13:49 AM
4/4/2019, 2:18:49 AM
4/4/2019, 2:23:49 AM
4/4/2019, 2:28:49 AM
4/4/2019, 2:33:49 AM
4/4/2019, 2:38:49 AM
4/4/2019, 2:43:49 AM
4/4/2019, 2:48:49 AM
4/4/2019, 2:53:49 AM
4/4/2019, 2:58:49 AM
4/4/2019, 3:03:49 AM
4/4/2019, 3:08:49 AM
4/4/2019, 3:13:49 AM
4/4/2019, 3:18:49 AM
4/4/2019, 3:23:49 AM
4/4/2019, 3:28:49 AM
4/4/2019, 3:33:49 AM
4/4/2019, 3:38:49 AM
4/4/2019, 3:43:49 AM
4/4/2019, 3:48:49 AM
4/4/2019, 3:53:49 AM
4/4/2019, 3:58:49 AM
4/4/2019, 4:03:49 AM
4/4/2019, 4:08:49 AM
4/4/2019, 4:13:49 AM
4/4/2019, 4:18:49 AM
4/4/2019, 4:23:49 AM
4/4/2019, 4:28:49 AM
4/4/2019, 4:33:49 AM
4/4/2019, 4:38:49 AM
4/4/2019, 4:43:49 AM
4/4/2019, 4:48:49 AM
4/4/2019, 4:53:50 AM
4/4/2019, 4:58:50 AM
4/4/2019, 5:03:50 AM
4/4/2019, 5:08:50 AM
4/4/2019, 5:13:50 AM
4/4/2019, 5:18:50 AM
